Job Title,Salary Estimate,Rating,Company Name,Location,Job Description,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,min_salary,max_salary,avg_salary,company_txt,job_state,remote_jobs,age,python,spark,aws,excel,sql,Tableau
Data Scientist,$88K - $127K (Glassdoor est.),3.8,"Health Alliance Plan
3.8","Southfield, MI","Responsible for working with business users to fully understand their needs for data science solutions; work with a variety of data sources, both internal and external, as well as structured and unstructured formats, to build analytic models utilizing machine learning techniques; perform deep dive analytics, ad hoc reporting, report automation, fee schedule processing, and dashboard creation/maintenance; partner with the IT group to ensure that the data is sourced from the right location for data science model building; develop ETL pipelines for model training, evaluation and deployment; develop and code data science programs, algorithms, and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources; interact with data engineers, business analysts and others to ensure data solutions address full needs; leverage appropriate data science techniques to drive the creation of insights from data; combine data extraction, preparation, and data cleansing with model training and evaluation using Pandas and Alteryx; develop and code data science programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources; use GitHub and similar version control system to maintain source code; interpret and communicate insights and findings from analysis and experiments for a multi-department audience using Data Visualization tools including Power BI and Tableau; utilize MS Access, MS Excel, T-SQL, Oracle SQL, Python, R, healthcare data analytics, quantitative statistical analysis, baseline/trend analysis, qualitative statistical analysis and health economics to perform duties; access data from internal databases and sources, including warehoused and pre-modeled data; server as the Tableau Subject Matter Expert (SME); accountable for the development and production support of interactive data visualizations; perform Tableau server administration for users and user groups; refresh scheduling via Server and TSC; develop dynamic websites with Microsoft SharePoint, as well as automatic registration systems with Microsoft Powerplatformp; use advanced knowledge of data warehousing and data mining principles including DataMart design, fact tables, dimension tables, data views and star schema to complete assigned tasks; stay current on data science and analytics tools, techniques, and practices; and work in an Agile/Scrum environment to write clean, reliable, and testable code that supports rapid delivery via CICD and automated deployments.",1001 to 5000 Employees,1956,Company - Private,Insurance Carriers,Insurance,$1 to $5 billion (USD),0,88.0,127.0,107.5,"Health Alliance Plan
", MI,0,67,1,0,0,1,1,1
Data Scientist,$80K - $85K,4.9,"AGM Tech Solutions, LLC
4.9","Mount Laurel, NJ","Data Scientist
Python
Predictive modelling
data mining
Job Type: Full-time
Pay: $80,000.00 - $85,000.00 per year
Benefits:
401(k)
Dental insurance",51 to 200 Employees,2018,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),0,80.0,85.0,82.5,"AGM Tech Solutions, LLC
", NJ,0,5,1,0,0,0,0,0
Data Scientist,$145K - $153K,4.0,"Marathon TS
4.0","Vienna, VA","Data Scientist
Rate: 145k-153k/year
Remote - must be able to attend the occasional meetings in Vienna (rare).
Supporting: Department of Veterans Affairs
Core Responsibilities:
Serve as technical lead on federal data science consulting programs directing teams of data scientists and engineers.
Drive project future direction through strategic engagement with customers and stakeholders.
Apply expert subject matter expertise in healthcare analytics and enterprise data strategy.",201 to 500 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),0,145.0,153.0,149.0,"Marathon TS
", VA,0,14,0,0,0,0,0,0
Data Scientist,$80K - $130K,3.8,"Ascend Analytics, LLC
3.8","Boulder, CO","Data Scientist, Boulder, CO or Remote within U.S.

Your Impact at Ascend Analytics
As a Data Scientist, you will be responsible for advancing energy markets modeling to support the clean-tech power revolution. Your strong analytical skills and ability to develop innovative problem-solving solutions will support mission critical decision analytics for renewable and battery storage power providers around the globe. Responsibilities include prototyping new solutions and extending existing models. Required skills include knowledge of classical and deep learning ML approaches and ability to implement them in Python. Familiarity with electrical energy systems and markets is preferred.
Ascend Analytics is an innovative “climate tech” software and consulting company focused on energy analytics that are transforming the electric grid. Ascend's solutions provide the analytics to support critical power supply decisions from operating strategies, for short and long-term investment and resource planning decisions. For more information, visit www.ascendanalytics.com.",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,80.0,130.0,105.0,"Ascend Analytics, LLC
", CO,0,20,1,0,0,0,0,0
"Data Scientist(RNAseq,Genomics,Omnics,Machine Learning,data analysis)",$51.00 - $52.00 Per Hour,3.7,"Tellus Solutions
3.7",Remote,"Job Description:
Responsibilities:
Project involves developing multi-omics directed graph networks based on causal inference framework based on multiple data types (e.g., clinical, RNA-seq, epigenetic, proteomic, and/or genetic data).
Skills:
Must be expert in at least one area of causal inference such as interpretable machine learning or data fusion problem, e.g., to reduce space of plausible causal relationships and how data from multiple sources can be combined to make causal inferences.
Experience with machine learning in the context of causal inference, so that the predictive models are more than just a black box, is strongly desired.
Ideal candidate is experienced in both genomic data, causal inference, and machine learning, but the latter two are the most important.",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),1,51.0,52.0,51.5,"Tellus Solutions
",-1,1,17,0,0,0,0,0,0
Senior Data Scientist,$43.03 - $68.18 Per Hour,-1.0,Jconnect Infotech Inc.,Remote,"ROLE : Sr. Data Scientist
Location : Camarillo, California
Duration : contract C2C/W2/1099
Skills: Python, Supply Chain, AWS, SQL, Tableau
We are seeking a talented and experienced Data Scientist to join our team. As a Data Scientist, you will be responsible for utilizing statistical analysis, machine learning techniques, and data visualization tools to extract insights and create predictive models that enhance our operational efficiency and overall performance. Your work will directly impact critical areas such as demand forecasting, inventory management, route optimization, and customer satisfaction.",-1,-1,-1,-1,-1,-1,1,43.03,68.18,55.605000000000004,Jconnect Infotech Inc.,-1,1,-1,1,0,1,0,1,1
Data Scientist,$26.20 - $51.39 Per Hour,3.9,"UCLA Health
3.9","Los Angeles, CA","Description
Come join our exceptional Department of Neurobiology, and help lead the advancement of cutting-edge basic science research into explorations of the brain and central nervous system. Our research team, the Theoretical and Computational Neuroscience Laboratory (www.dipoppalab.com), is a cooperative and vibrant environment where all members are offered excellent scientific training and career mentoring. We are looking for candidates with a keen interest in gaining research experience in Computational Neuroscience, pursuing research projects, and supporting those of other team members. The Data Scientist will develop code (primarily in Python using libraries such as numpy, scikit-learn, pytorch) to support research in computational neuroscience pursued in the laboratory as well as working on their own research project. This work will include submitting jobs to high-performance computing clusters, analyzing large-scale biological and simulated datasets using machine learning tools, and training artificial neural network models. UCLA Health is a world-renowned health system with four award-winning hospitals and dozens of primary care practices, specialty practices, urgent care centers and other ancillary locations throughout metro Los Angeles as well as the David Geffen School of Medicine, which is an internationally-respected center of advanced medical education and research. If you’re looking to experience greater challenge and fulfillment in your career, you can at UCLA Health. Salary range: $26.20-$51.39 Hourly",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,1,26.2,51.39,38.795,"UCLA Health
", CA,0,104,1,0,0,1,0,0
Data Scientist,$101K,4.6,"Measures for Justice
4.6","Rochester, NY","Rochester, NY
Type: Full-time
Min. Experience: Some Experience
Salary: $101,116

About Measures for Justice
Measures for Justice is a nonpartisan nonprofit organization dedicated to developing tools and services that help communities, including the institutions that serve them, reshape how the criminal justice system works. Since 2011, we have been collecting, standardizing, and publishing criminal justice data to increase transparency, accessibility, and accountability. We’re leading a movement to change the future of criminal justice.",1 to 50 Employees,2011,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable,0,101.0,-1.0,101.0,"Measures for Justice
", NY,0,12,0,0,0,0,0,0
Data Scientist,$91K - $130K (Glassdoor est.),3.6,"Aspen Technology
3.6","Houston, TX","The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the envelope, overcoming any hurdle, challenging the status quo to continually find a better way. You will experience these qualities of passion, pride and aspiration in many ways — from a rich set of career development programs to support of community service projects to social events that foster fun and relationship building across our global community.
The Role
As a member of the Data Science team, you will develop and investigate hypotheses, structure experiments, and build mathematical models to understand data patterns and relationships and prescribe actions and options. We are looking for a sharp, disciplined, and highly quantitative individual who has a passion for playing with data, in all its forms including data mining, mathematical modeling and expert systems. We are building a unique technology platform dedicated to the real-time discovery and manipulation of data; this is your chance to be a critical part of that data research team. More formally, AspenTech is looking for a Data Scientist to join our growing Asset Performance Management team, building the next generation predictive analytics solution for IoT and asset optimization.",1001 to 5000 Employees,1981,Company - Public,Computer Hardware Development,Information Technology,$500 million to $1 billion (USD),0,91.0,130.0,110.5,"Aspen Technology
", TX,0,42,0,0,0,0,0,0
Data Scientist - Remote,$80K - $110K,-1.0,DLZP Group,Remote,"Data Scientist
Job Overview
We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.",-1,-1,-1,-1,-1,-1,0,80.0,110.0,95.0,DLZP Group,-1,1,-1,0,0,0,0,0,0
Data Scientist,$55.00 - $65.00 Per Hour,-1.0,NLB Technology Services,Remote,"Job Description-
Design, develop, optimize, and maintain Cloud Data Platform (Azure) pipelines that adhere to ETL principles and business goals
Experience with dimensional modelling, ETL, reporting tools, data governance, data warehousing, structured and unstructured data to solve complex data problems
Experience working on large production SAP/NoSQL clusters on premise or using Cloud services
Technical design and development activities for implementation of large-scale data solutions in Snowflake to support multiple use cases as part of modern and unified data platform.
Experience Developing and maintain conceptual, logical, and physical data models, implement of RDBMS, operational data store (ODS), data marts, and data lakes on target platforms in cloud",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,55.0,65.0,60.0,NLB Technology Services,-1,1,-1,0,0,0,0,1,0
"Data Scientist, Services",$140K - $150K,4.7,"StreetLight Data
4.7",Remote,"StreetLight pioneered the use of Big Data analytics to shed light on how people, goods, and services move, empowering smarter, data-driven transportation decisions. The company applies proprietary machine-learning algorithms and data processing resources to measure travel patterns of vehicles, bicycles and pedestrians that enable complex transportation problem solving using analytics available on SaaS platform, StreetLight InSight®. Acquired by Jacobs as a subsidiary in February 2022, StreetLight continues to provide innovative digital solutions to help communities reduce congestion, improve safe and equitable transportation, and maximize the positive impact of infrastructure investment.

As a Data Scientist on our Services team, your role will be vital in shaping our services offerings. You will directly influence the success of our customers by developing data-driven solutions tailored to their unique needs. Utilizing your data science expertise, you will be tasked not only with the creation of these solutions but also with the proactive identification and validation of potential new services offerings.
In this role, you will harness the power of StreetLight's extensive repository of transportation data, formulating efficient queries to deliver the answers our customers seek. Employing innovative visualization techniques and synthesizing diverse data sets, you willprovide comprehensive insights. As a key contributor to our lean launch program, your data insights will enable the identification, prototyping, and validation of new product concepts.",51 to 200 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),0,140.0,150.0,145.0,"StreetLight Data
",-1,1,12,0,0,0,0,0,0
Data Scientist,$110K,-1.0,"Zartico, Inc.",Remote,"Meet Zartico, the world’s first Destination Operating System.

Zartico’s mission is to empower DMOs to be better stewards of the world’s tourist destinations through improved data intelligence and decision-making. Makers of the first Destination Operating System, Zartico harnesses and streamlines complex data to provide a full-spectrum of data science, benchmarking and analytical services for use in marketing, community development and sustainability efforts. Based in Salt Lake City, Utah, Zartico has over thirty years of experience in technology, tourism, and destination, travel and tourism marketing.

Zartico is looking to add a Data Scientist to the team. In this role, you will be designing and developing new tools, architecture, and models to flexibly extract actionable information from large, complex data sets. To be successful in this role, you will need a strong background in mathematical and statistical reasoning, comfortability programming (SQL and Python required), experience designing, evaluating and testing models with/on complex data sets, and an ability to problem solve effectively in ambiguous settings.",51 to 200 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,110.0,-1.0,110.0,"Zartico, Inc.",-1,1,4,1,0,0,0,1,0
Data Scientist,$65.00 Per Hour,3.1,"RV Solutions Pvt. Ltd
3.1","Seattle, WA","Position : Data Scientist
Type : Contract
Location : Seattle, WA
Client : Photon/Alaska Airlines
$65/hr on C2C
Job Description :
Job Summary
We are seeking a Data Scientist to work on a Generative AI initiative to join our team. The ideal candidate will have a deep understanding of language models, text-to-image, and other generative AI models. They must possess knowledge of Python, and machine learning frameworks.",10000+ Employees,1966,Company - Public,Sporting Goods Stores,Retail & Wholesale,$1 to $5 billion (USD),1,65.0,-1.0,65.0,"RV Solutions Pvt. Ltd
", WA,0,57,1,0,0,0,0,0
Data Scientist I,$95K - $115K,3.1,"Burlington Stores
3.1","Edgewater Park, NJ","LOCATION 4287 Route 130 S Edgewater Park NJ US 08010
Overview
Come join our growing team here at Burlington Stores as a Data Scientist I! The Data Scientist I will support business areas including Merchandising, Allocations, Marketing, IT and Supply Chain Analytics teams with insights gained from analyzing Burlington and external data. Must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools building and implementing models, using/creating algorithms and creating/running simulations. Must have strong interpersonal and relationship building skills & strong written and verbal communication skills.
Duties & Responsibilities:
Work with stakeholders throughout the organization including Merchandising, Allocations, Marketing, IT and Supply Chain Analytics to identify opportunities for leveraging company data to drive business solutions",10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD),0,95.0,115.0,105.0,"Burlington Stores
", NJ,0,51,0,0,0,0,0,0
Data Scientist,$65.00 - $70.00 Per Hour,-1.0,Siddhi Solutions,Remote,"Job description
Job Summary
The Data Scientist is a valuable member of the analytics delivery team who builds predictive models, provides statistical analysis and data visualization services for several use cases. Data Scientist works on end-to-end solutions as part of a team, designs innovative analytic models and responsible for pulling and cleaning datasets, evaluating models, and presenting results to key stakeholders.
Data Scientist describes data using qualitative and quantitative aggregation/summarization and builds tools (interactive dashboards, web pages) allowing customers to easily view and understand important patterns and data trends. Data Scientist provides quantitative comparisons of data points using advanced statistical analysis as well as traditional statistical hypothesis testing. Data Scientist constructs and validates predictive and prescriptive models using a variety of techniques and performs other duties as assigned.",-1,-1,-1,-1,-1,-1,1,65.0,70.0,67.5,Siddhi Solutions,-1,1,-1,0,0,0,0,0,0
Data Scientist 1 Remote,$85K,3.9,"Baylor Scott & White Health
3.9",Remote,"JOB SUMMARY
The Data Scientist 1 serves as initial intake contact and works closely with key business stakeholders to develop use cases related to difficult to solve and complex business challenges. The Data Scientist 1creates machine learning models used to identify key data features that will enable the models to derive insights that are predictive in nature and enable stakeholders to be glean insights that enable action to improve business outcomes.
SALARY
The pay range for this position is $84,739 (entry-level qualifications) - $148,075 (highly experienced) The specific rate will depend upon the successful candidate’s specific qualifications and prior experience.
ESSENTIAL FUNCTIONS OF THE ROLE",10000+ Employees,1903,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),0,85.0,-1.0,85.0,"Baylor Scott & White Health
",-1,1,120,0,0,0,0,0,0
Data Scientist,$90K - $100K,4.2,"Midtown Home Improvements
4.2","Wentzville, MO","Midtown Home Improvements is Hiring!
Join our team as a Data Scientist and make an impact through cutting-edge AI and machine learning!
Key Responsibilities:
Analyze data to derive valuable insights and solve business challenges.
Develop machine learning models for predictive analysis and decision-making.
Work on innovative AI projects to enhance automation and efficiency.
Required Skills:
Bachelor's/Master's in Data Science, Computer Science, or related field.",51 to 200 Employees,1990,Private Practice / Firm,Construction,"Construction, Repair & Maintenance Services",$25 to $100 million (USD),0,90.0,100.0,95.0,"Midtown Home Improvements
", MO,0,33,0,0,0,0,0,0
Data Scientist,$84K - $99K,3.9,"Vetro Tech Inc
3.9","Seattle, WA","We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms",Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,0,84.0,99.0,91.5,"Vetro Tech Inc
", WA,0,-1,0,0,0,0,0,0
Data Scientist / Machine learning/scRNASeq data Analysis,$40.00 - $50.00 Per Hour,3.7,"TellusSolutions
3.7",Remote,"Job Description:
Responsibilities:
Project involves developing multi-omics directed graph networks based on causal inference framework based on multiple data types (e.g., clinical, RNA-seq, epigenetic, proteomic, and/or genetic data).
Skills:
Must be expert in at least one area of causal inference such as interpretable machine learning or data fusion problem, e.g., to reduce space of plausible causal relationships and how data from multiple sources can be combined to make causal inferences.
Experience with machine learning in the context of causal inference, so that the predictive models are more than just a black box, is strongly desired.
Ideal candidate is experienced in both genomic data, causal inference, and machine learning, but the latter two are the most important.",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),1,40.0,50.0,45.0,"TellusSolutions
",-1,1,17,0,0,0,0,0,0
Data Scientist,$80K,-1.0,Procal Technologies,Remote,"$80k USD/year
Remote
Fulltime
Brief Overview:
Performs duties related to data mining, machine learning, statistical modeling, and analytics to build algorithms that will result in massive improvements to the way Aaron’s does business. Responsible for developing and improving key decision systems and predictive models to drive maximum business impact.
Key Responsibilities:",Unknown,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,0,80.0,-1.0,80.0,Procal Technologies,-1,1,-1,0,0,0,0,0,0
Data Scientist II,$124K - $149K,-1.0,TrueML,Remote,"Why TrueML?
TrueML is a mission-driven financial software company that aims to create better customer experiences for distressed borrowers. Consumers today want personal, digital-first experiences that align with their lifestyles, especially when it comes to managing finances. TrueML’s approach uses machine learning to engage each customer digitally and adjust strategies in real time in response to their interactions.
The TrueML team includes inspired data scientists, financial services industry experts and customer experience fanatics building technology to serve people in a way that recognizes their unique needs and preferences as human beings and endeavoring toward ensuring nobody gets locked out of the financial system.

The Opportunity:

You will join a team dedicated to creating a data driven culture and improving the efficiency and dependability of the way we make decisions. Our data scientists develop algorithms that enhance the collections process for our consumers, lead automation initiatives in the company and help create insights to better understand our product and performance.",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,124.0,149.0,136.5,TrueML,-1,1,-1,0,0,0,0,0,0
Data Scientist I - Hybrid,$78K - $111K,4.2,"Radian
4.2","New York, NY","See yourself at Radian? We see you here too.
At Radian, we see you. For the person you are and the potential you hold. That’s why we’ve embraced a new way of working that lets our people across the country be themselves, be their best and be their boldest. Because when each of us is truly seen, each of us gives our best – and at Radian, we’ll give you our best right back.
Studies have shown that job seekers may hesitate to apply for jobs unless they meet every single qualification listed. We strive to see the potential in each applicant, so if you’re excited about this role but your experience or education level doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right candidate for this or other roles.
See Yourself as a Data Scientist I, MIRS
The Data Scientist I, MIRS primary functions will be data modeling and analysis, analytical framework development and the estimation and validation of credit models. This role requires the use of financial, statistical and econometric methods within a structural modeling framework while leveraging cloud computing solutions.",1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),0,78.0,111.0,94.5,"Radian
", NY,0,46,0,0,0,0,0,0
